Compound	Type
sec-butylamine	alkylamine
2-aminoethanol	amine alcohol
D-alanine	amino acid
D-aspartic Acid	amino acid
D-serine	amino acid
D-threonine	amino acid
glycine	amino acid
hydroxy-L-proline	amino acid
L-alaninamide	amino acid
L-alanine	amino acid
L-arginine	amino acid
L-asparagine	amino acid
L-aspartic acid	amino acid
L-glutamic acid	amino acid
L-glutamine	amino acid
L-histidine	amino acid
L-homoserine	amino acid
L-isoleucine	amino acid
L-leucine	amino acid
L-lysine	amino acid
L-methionine	amino acid
L-ornithine	amino acid
L-phenylalanine	amino acid
L-proline	amino acid
L-pyroglutamic acid	amino acid
L-serine	amino acid
L-threonine	amino acid
L-valine	amino acid
N-acetyl-L-glutamic acid	amino acid
putrescine	amino acid
tyramine	amino acid
D-glucosamine	amino sugar
N-acetyl-D-galactosamine	amino sugar
2-hydroxy benzoic acid	aromatic compound
4-hydroxy benzoic acid	aromatic compound
"D,L-octopamine"	aromatic compound
m-hydroxy phenyl acetic acid	aromatic compound
p-hydroxy phenyl acetic acid	aromatic compound
phenylethylamine	aromatic compound
2-deoxy-D-ribose	carbohydrate
3-0-b-D-galcatopyranosyl-D-arabinose	carbohydrate
3-methyl glucose	carbohydrate
a-cyclodextrin	carbohydrate
a-D-glucose	carbohydrate
a-D-lactose	carbohydrate
a-methyl-D-glucoside	carbohydrate
a-methyl-D-mannoside	carbohydrate
b-cyclodextrin	carbohydrate
b-D-allose	carbohydrate
D-arabinose	carbohydrate
D-cellobiose	carbohydrate
D-fructose	carbohydrate
D-fructose-6-phosphate	carbohydrate
D-fucose	carbohydrate
D-galactose	carbohydrate
D-gluconic acid	carbohydrate
D-glucose-1-phosphate	carbohydrate
D-glucose-6-phosphate	carbohydrate
D-mannose	carbohydrate
D-melezitose	carbohydrate
D-melibiose	carbohydrate
D-psicose	carbohydrate
D-raffinose	carbohydrate
D-ribose	carbohydrate
D-saccharic acid	carbohydrate
D-tagatose	carbohydrate
D-trehalose	carbohydrate
D-xylose	carbohydrate
dextrin	carbohydrate
dihydroxy acetone	carbohydrate
gentiobiose	carbohydrate
glucuronamide	carbohydrate
glycogen	carbohydrate
L-arabinose	carbohydrate
L-fucose	carbohydrate
L-glucose	carbohydrate
L-lyxose	carbohydrate
L-rhamnose	carbohydrate
L-sorbose	carbohydrate
lactulose	carbohydrate
laminarin	carbohydrate
m-inositol	carbohydrate
maltose	carbohydrate
maltotriose	carbohydrate
mannan	carbohydrate
n-acetyl-b-D-mannosamine	carbohydrate
palatinose	carbohydrate
pectin	carbohydrate
sedoheptulosan	carbohydrate
stachyose	carbohydrate
sucrose	carbohydrate
turanose	carbohydrate
y-cyclodextrin	carbohydrate
"D-ribono-1,4-lactone"	carbohydrate
bromo succinic acid	dicarboxylic acid
citramalic acid	dicarboxylic acid
D-malic acid	dicarboxylic acid
D-tartaric acid	dicarboxylic acid
"D,L-malic acid"	dicarboxylic acid
fumaric acid	dicarboxylic acid
itaconic acid	dicarboxylic acid
L-malic acid	dicarboxylic acid
L-tartaric acid	dicarboxylic acid
